site,T1,T2,T3
1,0.1125,-0.0103,0
2,0.0124,-0.129,0
3,0.1397,0,-0.0201
4,0.024,-0.1617,0
5,0,0.0108,-0.0249
6,0.0291,-0.0908,0
7,0.0312,-0.0495,0
8,0.0175,0,-0.0186
9,0.2988,0,-0.0123
10,0,0.0158,-0.0175
11,0.0171,0,-0.0173
13,0.0879,-0.0317,0
14,0.0589,0,-0.0501
15,-0.0313,0.057,0
16,0.0868,-0.0412,0
18,0.0979,0,-0.0817
19,0.1267,0,-0.0241
21,0.0544,-0.0918,0
22,0.1939,-0.0247,0
24,0.205,0,-0.082
25,0.1438,-0.0141,0
26,0.0178,-0.071,0
27,0.0289,0,-0.046
28,0.0722,-0.0055,0
29,0.1213,-0.1629,0
30,-0.0037,0.0486,0
31,0.2658,0,-0.0688
32,0.1065,-0.048,0
33,0.1035,-0.0872,0
34,0.0236,-0.004,0
35,0.0994,0,-0.1374
36,0,0.1122,-0.1354
37,0,-0.0525,0.0555
38,0,-0.0798,0.0224
39,0.1165,0,-0.0573
40,0.1334,0,-0.2044
41,0,-0.0429,0.0502
42,0,-0.0231,0.0556
43,0,0.0077,-0.1111
44,0.0293,-0.1784,0
45,0,-0.0744,0.0353
46,0.0949,0,-0.0816
47,0.1591,-0.0031,0
49,0.0488,-0.1328,0
50,0.1834,-0.0265,0
51,0.013,0,-0.0283
52,0.1051,0,-0.0548
53,0.0507,0,-0.0661
55,0.0862,-0.1102,0
56,0.027,-0.0049,0
